model,legacy_field,formal_field,formal_field_type,currency_field,view_id,view_type,source_location,product_route,role_context,usage_kind,display_usage,search_usage,sort_usage,filter_usage,group_usage,export_usage,readonly_editable,legacy_value_source,formal_value_source,current_resolution,proposed_resolution,runtime_reachable,risk,verification_case,status,evidence
construction.contract,p1_visible_06fa8c6f628f,state,char,,,product runtime,addons/smart_construction_core/models/support/p1_daily_business_visible_alias_fields.py:832-853,,,FORMAL_PRODUCT_REFERENCE,true,true,true,true,false,true,readonly_nonstored,state;state_text,state,A_MAPPED_TO_FORMAL_PRODUCT_FIELD,MAP_TO_EXISTING_FORMAL_FIELD,true,HIGH_GLOBAL_DEFINITION,FORMAL_CONTRACT_ALIAS_COUNT_ZERO,REMOVED_FROM_PRODUCT_PUBLICATION,runtime:construction.contract.p1_visible_06fa8c6f628f;global_ir_model_fields;dynamic_get_view_injection;formal_runtime_field_resolved;literal_view_reference
construction.contract,p1_visible_0965a7d1e74c,engineering_category_text,char,,,product runtime,addons/smart_construction_core/models/support/p1_daily_business_visible_alias_fields.py:832-853,,,FORMAL_PRODUCT_REFERENCE,true,true,true,true,false,true,readonly_nonstored,engineering_category_text,engineering_category_text,A_MAPPED_TO_FORMAL_PRODUCT_FIELD,MAP_TO_EXISTING_FORMAL_FIELD,true,HIGH_GLOBAL_DEFINITION,FORMAL_CONTRACT_ALIAS_COUNT_ZERO,REMOVED_FROM_PRODUCT_PUBLICATION,runtime:construction.contract.p1_visible_0965a7d1e74c;global_ir_model_fields;dynamic_get_view_injection;formal_runtime_field_resolved;literal_view_reference
construction.contract,p1_visible_0cf26c325f34,engineering_address,char,,,product runtime,addons/smart_construction_core/models/support/p1_daily_business_visible_alias_fields.py:832-853,,,FORMAL_PRODUCT_REFERENCE,true,true,true,true,false,true,readonly_nonstored,engineering_address,engineering_address,A_MAPPED_TO_FORMAL_PRODUCT_FIELD,MAP_TO_EXISTING_FORMAL_FIELD,true,HIGH_GLOBAL_DEFINITION,FORMAL_CONTRACT_ALIAS_COUNT_ZERO,REMOVED_FROM_PRODUCT_PUBLICATION,runtime:construction.contract.p1_visible_0cf26c325f34;global_ir_model_fields;dynamic_get_view_injection;formal_runtime_field_resolved;literal_view_reference
construction.contract,p1_visible_17b341733b7b,name,char,,,product runtime,addons/smart_construction_core/models/support/p1_daily_business_visible_alias_fields.py:832-853,,,FORMAL_PRODUCT_REFERENCE,true,true,true,true,false,true,readonly_nonstored,contract_no;contract_id;name;document_no,name,A_MAPPED_TO_FORMAL_PRODUCT_FIELD,MAP_TO_EXISTING_FORMAL_FIELD,true,HIGH_GLOBAL_DEFINITION,FORMAL_CONTRACT_ALIAS_COUNT_ZERO,REMOVED_FROM_PRODUCT_PUBLICATION,runtime:construction.contract.p1_visible_17b341733b7b;global_ir_model_fields;dynamic_get_view_injection;formal_runtime_field_resolved;literal_view_reference
construction.contract,p1_visible_202b429f79ca,archived,char,,,product runtime,addons/smart_construction_core/models/support/p1_daily_business_visible_alias_fields.py:832-853,,,FORMAL_PRODUCT_REFERENCE,true,true,true,true,false,true,readonly_nonstored,archived,archived,A_MAPPED_TO_FORMAL_PRODUCT_FIELD,MAP_TO_EXISTING_FORMAL_FIELD,true,HIGH_GLOBAL_DEFINITION,FORMAL_CONTRACT_ALIAS_COUNT_ZERO,REMOVED_FROM_PRODUCT_PUBLICATION,runtime:construction.contract.p1_visible_202b429f79ca;global_ir_model_fields;dynamic_get_view_injection;formal_runtime_field_resolved;literal_view_reference
construction.contract,p1_visible_2585b4ab16bd,date_contract,char,,,product runtime,addons/smart_construction_core/models/support/p1_daily_business_visible_alias_fields.py:832-853,,,FORMAL_PRODUCT_REFERENCE,true,true,true,true,false,true,readonly_nonstored,date_contract,date_contract,A_MAPPED_TO_FORMAL_PRODUCT_FIELD,MAP_TO_EXISTING_FORMAL_FIELD,true,HIGH_GLOBAL_DEFINITION,FORMAL_CONTRACT_ALIAS_COUNT_ZERO,REMOVED_FROM_PRODUCT_PUBLICATION,runtime:construction.contract.p1_visible_2585b4ab16bd;global_ir_model_fields;dynamic_get_view_injection;formal_runtime_field_resolved;literal_view_reference
construction.contract,p1_visible_3e7255522b33,project_id,char,,,product runtime,addons/smart_construction_core/models/support/p1_daily_business_visible_alias_fields.py:832-853,,,FORMAL_PRODUCT_REFERENCE,true,true,true,true,false,true,readonly_nonstored,project_id,project_id,A_MAPPED_TO_FORMAL_PRODUCT_FIELD,MAP_TO_EXISTING_FORMAL_FIELD,true,HIGH_GLOBAL_DEFINITION,FORMAL_CONTRACT_ALIAS_COUNT_ZERO,REMOVED_FROM_PRODUCT_PUBLICATION,runtime:construction.contract.p1_visible_3e7255522b33;global_ir_model_fields;dynamic_get_view_injection;formal_runtime_field_resolved;literal_view_reference
construction.contract,p1_visible_3ec01dd569e2,name,char,,,product runtime,addons/smart_construction_core/models/support/p1_daily_business_visible_alias_fields.py:832-853,,,FORMAL_PRODUCT_REFERENCE,true,true,true,true,false,true,readonly_nonstored,title;name,name,A_MAPPED_TO_FORMAL_PRODUCT_FIELD,MAP_TO_EXISTING_FORMAL_FIELD,true,HIGH_GLOBAL_DEFINITION,FORMAL_CONTRACT_ALIAS_COUNT_ZERO,REMOVED_FROM_PRODUCT_PUBLICATION,runtime:construction.contract.p1_visible_3ec01dd569e2;global_ir_model_fields;dynamic_get_view_injection;formal_runtime_field_resolved;literal_view_reference
construction.contract,p1_visible_5839c15a34a4,affiliated_person,char,,,product runtime,addons/smart_construction_core/models/support/p1_daily_business_visible_alias_fields.py:832-853,,,FORMAL_PRODUCT_REFERENCE,true,true,true,true,false,true,readonly_nonstored,affiliated_person,affiliated_person,A_MAPPED_TO_FORMAL_PRODUCT_FIELD,MAP_TO_EXISTING_FORMAL_FIELD,true,HIGH_GLOBAL_DEFINITION,FORMAL_CONTRACT_ALIAS_COUNT_ZERO,REMOVED_FROM_PRODUCT_PUBLICATION,runtime:construction.contract.p1_visible_5839c15a34a4;global_ir_model_fields;dynamic_get_view_injection;formal_runtime_field_resolved;literal_view_reference
construction.contract,p1_visible_58a2eb3301c1,amount_total,char,,,product runtime,addons/smart_construction_core/models/support/p1_daily_business_visible_alias_fields.py:832-853,,,FORMAL_PRODUCT_REFERENCE,true,true,true,true,false,true,readonly_nonstored,amount_total,amount_total,A_MAPPED_TO_FORMAL_PRODUCT_FIELD,MAP_TO_EXISTING_FORMAL_FIELD,true,HIGH_GLOBAL_DEFINITION,FORMAL_CONTRACT_ALIAS_COUNT_ZERO,REMOVED_FROM_PRODUCT_PUBLICATION,runtime:construction.contract.p1_visible_58a2eb3301c1;global_ir_model_fields;dynamic_get_view_injection;formal_runtime_field_resolved;literal_view_reference
construction.contract,p1_visible_75b438b16f10,visible_unreceived_amount,char,,,product runtime,addons/smart_construction_core/models/support/p1_daily_business_visible_alias_fields.py:832-853,,,FORMAL_PRODUCT_REFERENCE,true,true,true,true,false,true,readonly_nonstored,visible_unreceived_amount,visible_unreceived_amount,A_MAPPED_TO_FORMAL_PRODUCT_FIELD,MAP_TO_EXISTING_FORMAL_FIELD,true,HIGH_GLOBAL_DEFINITION,FORMAL_CONTRACT_ALIAS_COUNT_ZERO,REMOVED_FROM_PRODUCT_PUBLICATION,runtime:construction.contract.p1_visible_75b438b16f10;global_ir_model_fields;dynamic_get_view_injection;formal_runtime_field_resolved;literal_view_reference
construction.contract,p1_visible_75e856a13c7c,amount_total,char,,,product runtime,addons/smart_construction_core/models/support/p1_daily_business_visible_alias_fields.py:832-853,,,FORMAL_PRODUCT_REFERENCE,true,true,true,true,false,true,readonly_nonstored,contract_amount_total;amount_total;amount,amount_total,A_MAPPED_TO_FORMAL_PRODUCT_FIELD,MAP_TO_EXISTING_FORMAL_FIELD,true,HIGH_GLOBAL_DEFINITION,FORMAL_CONTRACT_ALIAS_COUNT_ZERO,REMOVED_FROM_PRODUCT_PUBLICATION,runtime:construction.contract.p1_visible_75e856a13c7c;global_ir_model_fields;dynamic_get_view_injection;formal_runtime_field_resolved;literal_view_reference
construction.contract,p1_visible_7b9f4bb3e3ea,engineering_content,char,,,product runtime,addons/smart_construction_core/models/support/p1_daily_business_visible_alias_fields.py:832-853,,,FORMAL_PRODUCT_REFERENCE,true,true,true,true,false,true,readonly_nonstored,engineering_content,engineering_content,A_MAPPED_TO_FORMAL_PRODUCT_FIELD,MAP_TO_EXISTING_FORMAL_FIELD,true,HIGH_GLOBAL_DEFINITION,FORMAL_CONTRACT_ALIAS_COUNT_ZERO,REMOVED_FROM_PRODUCT_PUBLICATION,runtime:construction.contract.p1_visible_7b9f4bb3e3ea;global_ir_model_fields;dynamic_get_view_injection;formal_runtime_field_resolved;literal_view_reference
construction.contract,p1_visible_8fa8662ad38f,name,char,,,product runtime,addons/smart_construction_core/models/support/p1_daily_business_visible_alias_fields.py:832-853,,,FORMAL_PRODUCT_REFERENCE,true,true,true,true,false,true,readonly_nonstored,document_no;name,name,A_MAPPED_TO_FORMAL_PRODUCT_FIELD,MAP_TO_EXISTING_FORMAL_FIELD,true,HIGH_GLOBAL_DEFINITION,FORMAL_CONTRACT_ALIAS_COUNT_ZERO,REMOVED_FROM_PRODUCT_PUBLICATION,runtime:construction.contract.p1_visible_8fa8662ad38f;global_ir_model_fields;dynamic_get_view_injection;formal_runtime_field_resolved;literal_view_reference
construction.contract,p1_visible_99f6fe6c41ad,attachment_ids;message_attachment_count,char,,,product runtime,addons/smart_construction_core/models/support/p1_daily_business_visible_alias_fields.py:832-853,,,FORMAL_PRODUCT_REFERENCE,true,true,true,true,false,true,readonly_nonstored,attachment_ids;biz_attachment_ids;tech_attachment_ids;message_attachment_count,attachment_ids;message_attachment_count,A_MAPPED_TO_FORMAL_PRODUCT_FIELD,MAP_TO_EXISTING_FORMAL_FIELD,true,HIGH_GLOBAL_DEFINITION,FORMAL_CONTRACT_ALIAS_COUNT_ZERO,REMOVED_FROM_PRODUCT_PUBLICATION,runtime:construction.contract.p1_visible_99f6fe6c41ad;global_ir_model_fields;dynamic_get_view_injection;formal_runtime_field_resolved;literal_view_reference
construction.contract,p1_visible_affba7961481,visible_invoice_amount,char,,,product runtime,addons/smart_construction_core/models/support/p1_daily_business_visible_alias_fields.py:832-853,,,FORMAL_PRODUCT_REFERENCE,true,true,true,true,false,true,readonly_nonstored,visible_invoice_amount,visible_invoice_amount,A_MAPPED_TO_FORMAL_PRODUCT_FIELD,MAP_TO_EXISTING_FORMAL_FIELD,true,HIGH_GLOBAL_DEFINITION,FORMAL_CONTRACT_ALIAS_COUNT_ZERO,REMOVED_FROM_PRODUCT_PUBLICATION,runtime:construction.contract.p1_visible_affba7961481;global_ir_model_fields;dynamic_get_view_injection;formal_runtime_field_resolved;literal_view_reference
construction.contract,p1_visible_bf0c9e684289,visible_unreceived_rate,char,,,product runtime,addons/smart_construction_core/models/support/p1_daily_business_visible_alias_fields.py:832-853,,,FORMAL_PRODUCT_REFERENCE,true,true,true,true,false,true,readonly_nonstored,visible_unreceived_rate,visible_unreceived_rate,A_MAPPED_TO_FORMAL_PRODUCT_FIELD,MAP_TO_EXISTING_FORMAL_FIELD,true,HIGH_GLOBAL_DEFINITION,FORMAL_CONTRACT_ALIAS_COUNT_ZERO,REMOVED_FROM_PRODUCT_PUBLICATION,runtime:construction.contract.p1_visible_bf0c9e684289;global_ir_model_fields;dynamic_get_view_injection;formal_runtime_field_resolved;literal_view_reference
construction.contract,p1_visible_da9d3c637407,visible_received_amount,char,,,product runtime,addons/smart_construction_core/models/support/p1_daily_business_visible_alias_fields.py:832-853,,,FORMAL_PRODUCT_REFERENCE,true,true,true,true,false,true,readonly_nonstored,visible_received_amount,visible_received_amount,A_MAPPED_TO_FORMAL_PRODUCT_FIELD,MAP_TO_EXISTING_FORMAL_FIELD,true,HIGH_GLOBAL_DEFINITION,FORMAL_CONTRACT_ALIAS_COUNT_ZERO,REMOVED_FROM_PRODUCT_PUBLICATION,runtime:construction.contract.p1_visible_da9d3c637407;global_ir_model_fields;dynamic_get_view_injection;formal_runtime_field_resolved;literal_view_reference
